epoch,fsops_rate,proc_state,minor_flt,major_flt,utime,ktime,num_threads,vmem_sz,pmem_sz,swap_bytes_used,swap_sdb1_bytes_read,swap_sdb1_bytes_written,ext2_capacity,ext2_free,ext2_inodes,ext2_ifree,xfs_capacity,xfs_free,xfs_inodes,xfs_ifree,
765.598238924,4.196,D,9160503,508906,5010,17920,2,17314328576,10807865344,6693371904,12277.09,87996440.00,241664,163840,32,20,11776000,11526144,8192,8187,
770.604585979,3.595,R,9204385,511193,5034,18024,2,17417097216,10523463680,7065567232,38453.59,74581960.00,241664,229376,32,20,11776000,11587584,8192,8187,
775.610251258,3.196,D,9235443,513117,5053,18088,2,17451597824,10151297024,7488192512,6546.18,84440848.00,241664,229376,32,20,11776000,11587584,8192,8187,
780.613685069,4.197,D,9283934,515829,5082,18190,2,17554370560,9881575424,7868301312,62216.47,75624120.00,241664,163840,32,20,11776000,11526144,8192,8187,
785.623045549,3.993,D,9327990,518318,5102,18291,2,17640099840,9629446144,8256536576,53148.50,77776704.00,241664,163840,32,20,11776000,11526144,8192,8187,
790.627764856,3.597,D,9367654,520543,5126,18391,2,17708683264,9318547456,8639307776,54834.64,76563080.00,241664,172032,32,20,11776000,11534336,8192,8187,
795.636736626,4.392,D,9416143,523258,5160,18503,2,17794412544,8996282368,9068294144,13083.72,85653416.00,241664,229376,32,20,11776000,11587584,8192,8187,
800.640138837,3.398,S,9455796,525498,5186,18585,2,17862995968,8697606144,9437233152,33564.36,73797392.00,241664,229376,32,20,11776000,11587584,8192,8187,
805.643473770,3.997,R,9496471,527736,5211,18674,2,17965764608,8426233856,9808953344,18829.04,74179872.00,241664,229376,32,20,11776000,11587584,8192,8187,
810.656309545,3.591,R,9538101,529976,5232,18766,2,18034454528,8114802688,10209509376,71905.01,79831712.00,241664,163840,32,20,11776000,11526144,8192,8187,
815.673437125,3.787,D,9579195,532441,5254,18848,2,18103037952,7914377216,10491576320,72659.91,56078752.00,241664,229376,32,20,11776000,11587584,8192,8187,
820.676444124,3.798,D,9618877,534663,5287,18939,2,18171723776,7571808256,10965794816,35204.43,94925880.00,241664,229376,32,20,11776000,11587584,8192,8187,
825.681932528,3.596,R,9662713,536892,5311,19033,2,18257350656,7227559936,11401936896,8183.02,87473184.00,241664,229376,32,20,11776000,11587584,8192,8187,
830.697209062,3.988,D,9702639,539353,5340,19116,2,18343079936,6957260800,11775295488,52269.10,74011416.00,241664,163840,32,20,11776000,11526144,8192,8187,
835.701146330,3.997,R,9747585,541821,5369,19208,2,18445848576,6670508032,12155650048,13915.44,76145304.00,241664,229376,32,20,11776000,11587584,8192,8187,
840.705803165,4.396,R,9799368,544534,5400,19316,2,18514538496,6389112832,12551241728,946932.44,79452296.00,241664,163840,32,20,11776000,11526144,8192,8187,
845.710602192,3.597,R,9839207,546912,5425,19392,2,18617307136,6259601408,12872892416,50741.70,64360116.00,241664,163840,32,20,11776000,11526144,8192,8187,
850.713634410,3.598,D,9874551,548986,5449,19501,2,18651807744,5879345152,13314605056,51578.32,88368400.00,241664,229376,32,20,11776000,11587584,8192,8187,
855.718008822,3.597,D,9914206,551227,5472,19583,2,18737434624,5718237184,13688946688,10640.29,74516408.00,241664,163840,32,20,11776000,11526144,8192,8187,
860.722397506,4.396,D,9962688,553952,5499,19685,2,18823163904,5545824256,14011908096,157966.94,64854024.00,241664,172032,32,20,11776000,11534336,8192,8187,
865.726646429,3.597,D,10002363,556176,5523,19813,2,18891849728,5256380416,14389395456,38469.71,75150168.00,241664,229376,32,20,11776000,11587584,8192,8187,
870.733972541,3.595,D,10042032,558405,5549,19899,2,18977476608,5052014592,14726983680,61350.11,67605368.00,241664,172032,32,20,11776000,11534336,8192,8187,
875.737971102,4.396,R,10090511,561128,5583,20015,2,19063308288,4791930880,15081193472,49112.72,71054648.00,241664,229376,32,20,11776000,11587584,8192,8187,
880.742479820,3.197,D,10125774,563100,5603,20095,2,19131891712,4559196160,15454486528,32738.48,74426024.00,241664,229376,32,20,11776000,11587584,8192,8187,
