epoch,fsops_rate,proc_state,minor_flt,major_flt,utime,ktime,num_threads,vmem_sz,pmem_sz,swap_bytes_used,swap_sdb1_bytes_read,swap_sdb1_bytes_written,ext4_capacity,ext4_free,ext4_inodes,ext4_ifree,xfs_capacity,xfs_free,xfs_inodes,xfs_ifree,
635.432884634,7.599,R,11394116,632822,6181,21428,2,21754998784,21557731328,72278016,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
640.433707756,6.599,D,11465978,636997,6220,21588,2,21875126272,21681709056,72278016,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
645.434439702,8.199,R,11558052,641908,6271,21761,2,22063624192,21868306432,72278016,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
650.435522150,8.398,D,11646659,647065,6326,21943,2,22218145792,22022742016,72278016,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
655.436389138,7.599,D,11730387,651732,6377,22129,2,22372458496,22176198656,72278016,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
660.437474773,7.998,R,11821860,656642,6431,22306,2,22560960512,22360231936,72278016,0.00,0.00,241664,167936,32,20,11776000,11530240,8192,8187,
665.438444403,7.599,R,11906306,661305,6480,22473,2,22732312576,22533722112,72278016,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
670.439343640,7.199,R,11985746,665736,6518,22657,2,22886625280,22670671872,72278016,0.00,0.00,241664,167936,32,20,11776000,11530240,8192,8187,
675.440399778,7.998,R,12074082,670844,6568,22852,2,23058083840,22854918144,72278016,0.00,0.00,241664,167936,32,20,11776000,11530240,8192,8187,
680.441409265,8.398,R,12164681,675796,6618,23028,2,23212503040,23004401664,72278016,0.00,0.00,241664,172032,32,20,11776000,11534336,8192,8187,
685.442349596,7.599,R,12246070,680459,6666,23190,2,23383855104,23165456384,72278016,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
690.443002243,8.799,D,12342935,685864,6719,23358,2,23538376704,23335702528,72278016,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
695.443940489,7.998,R,12435360,690925,6770,23545,2,23709626368,23498207232,72278016,0.00,0.00,241664,188416,32,21,11776000,11542528,8192,8188,
700.444949552,7.798,D,12519195,695694,6816,23709,2,23846899712,23642619904,72278016,0.00,0.00,241664,188416,32,21,11776000,11542528,8192,8188,
705.446061946,6.998,S,12598511,700118,6858,23855,2,23984066560,23779028992,72278016,0.00,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
710.446787076,8.199,D,12686648,705028,6904,24005,2,24155525120,23949541376,72278016,0.00,0.00,241664,176128,32,21,11776000,11534336,8192,8188,
715.447751365,8.198,D,12774780,709943,6955,24162,2,24309837824,24103006208,72278016,3276.17,0.00,241664,176128,32,21,11776000,11534336,8192,8188,
720.448786173,7.199,R,12858495,714605,6997,24306,2,24481189888,24271781888,72278016,0.00,0.00,241664,176128,32,21,11776000,11534336,8192,8188,
725.449606157,9.198,R,12958944,720012,7051,24455,2,24669794304,24458223616,72278016,0.00,0.00,241664,167936,32,21,11776000,11526144,8192,8188,
730.450333009,8.199,D,13047998,725169,7103,24632,2,24824213504,24614539264,72278016,3276.32,0.00,241664,167936,32,21,11776000,11526144,8192,8188,
735.451080474,7.399,R,13131722,729836,7153,24783,2,24978526208,24768000000,72278016,0.00,0.00,241664,167936,32,21,11776000,11526144,8192,8188,
740.451966251,7.199,D,13206640,734012,7193,24923,2,25115795456,24904417280,72278016,0.00,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
745.452916427,8.398,R,13303474,739303,7238,25099,2,25321336832,25101168640,72278016,0.00,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
750.453900497,6.799,D,13374101,743341,7277,25216,2,25441566720,25228390400,72278016,0.00,0.00,241664,167936,32,21,11776000,11526144,8192,8188,
755.454803998,8.798,D,13471054,748742,7324,25379,2,25630068736,25415958528,72278016,819.05,0.00,241664,167936,32,21,11776000,11526144,8192,8188,
760.455974319,7.598,R,13559099,753579,7371,25548,2,25801420800,25579999232,72278016,0.00,0.00,241664,192512,32,21,11776000,11546624,8192,8188,
765.456913125,8.598,D,13651717,758825,7416,25723,2,25921552384,25705861120,72278016,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
770.457826957,8.998,R,13752921,764330,7471,25875,2,26127196160,25899548672,72278016,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
775.458926225,7.998,R,13841087,769268,7519,26055,2,26298654720,26071597056,72278016,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
780.459939957,8.398,D,13929351,774294,7566,26232,2,26453176320,26234458112,72278016,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
785.460931211,7.598,R,14013921,778957,7608,26402,2,26641571840,26408353792,72278016,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
790.461979845,7.998,R,14104511,783867,7661,26582,2,26813030400,26588872704,72278016,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
795.462869594,8.399,D,14193767,789024,7707,26751,2,26967552000,26746011648,72278016,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
800.463991107,8.398,D,14286315,794177,7757,26908,2,27156054016,26933575680,72278016,0.00,0.00,241664,163840,32,20,11776000,11526144,8192,8187,
805.464783546,8.399,R,14379288,799335,7801,27081,2,27344658432,27105714176,72278016,3276.28,0.00,241664,163840,32,20,11776000,11526144,8192,8187,
810.465630240,7.999,R,14471150,804250,7847,27263,2,27498971136,27274604544,72278016,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
815.466469014,8.799,R,14568102,809651,7894,27423,2,27687575552,27462172672,72278016,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
820.467245264,7.999,R,14652473,814561,7949,27601,2,27859034112,27617251328,72278016,0.00,0.00,241664,163840,32,20,11776000,11526144,8192,8187,
