epoch,fsops_rate,proc_state,minor_flt,major_flt,utime,ktime,num_threads,vmem_sz,pmem_sz,swap_bytes_used,swap_sdb1_bytes_read,swap_sdb1_bytes_written,ext2_capacity,ext2_free,ext2_inodes,ext2_ifree,ext4_capacity,ext4_free,ext4_inodes,ext4_ifree,
790.308931372,61.594,R,16372712,939326,9694,32592,2,24868098048,23846330368,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
795.309606079,66.391,R,16474751,945446,9774,32799,2,24865738752,23844806656,0,0.00,0.00,241664,229376,32,21,2048000,2035712,256,245,
800.310033605,68.394,R,16577486,951759,9846,32997,2,24868098048,23846699008,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
805.310533414,66.793,D,16679721,957979,9918,33206,2,24865775616,23844810752,0,0.00,0.00,241664,233472,32,22,2048000,2039808,256,246,
810.311094205,67.192,R,16781295,964190,9992,33401,2,24865775616,23844810752,0,0.00,0.00,241664,229376,32,21,2048000,2035712,256,245,
815.311620611,54.394,D,16863376,969185,10060,33616,2,24865738752,23844814848,0,0.00,0.00,241664,233472,32,22,2048000,2039808,256,246,
820.312378142,61.591,S,16957616,974920,10130,33831,2,24865738752,23844814848,0,0.00,0.00,241664,176128,32,21,2048000,1986560,256,245,
825.313072592,64.791,D,17055505,980877,10212,34034,2,24865738752,23844818944,0,0.00,0.00,241664,159744,32,20,2048000,1966080,256,244,
830.314113669,61.187,S,17149136,986575,10278,34247,2,24865738752,23844818944,0,0.00,0.00,241664,229376,32,21,2048000,2035712,256,245,
835.314643241,65.193,R,17249223,992580,10344,34473,2,24868098048,23846580224,0,0.00,0.00,241664,167936,32,21,2048000,1974272,256,245,
840.315353586,60.791,S,17342370,998245,10425,34680,2,24865738752,23844823040,0,0.00,0.00,241664,233472,32,22,2048000,2039808,256,246,
845.316124549,46.593,R,17411188,1002522,10495,34902,2,24865841152,23844831232,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
850.316897496,60.191,R,17502982,1008102,10553,35121,2,24868200448,23846359040,0,0.00,0.00,241664,163840,32,20,2048000,1970176,256,244,
855.317594856,65.191,R,17602229,1014109,10626,35340,2,24868200448,23845511168,0,0.00,0.00,241664,200704,32,21,2048000,2002944,256,245,
860.318192847,65.592,S,17701813,1020208,10703,35541,2,24865841152,23844835328,0,0.00,0.00,241664,163840,32,20,2048000,1970176,256,244,
865.318736737,61.193,R,17795981,1025879,10768,35766,2,24865841152,23844839424,0,0.00,0.00,241664,233472,32,22,2048000,2039808,256,246,
870.319258015,61.594,R,17888445,1031547,10845,35982,2,24868200448,23844839424,0,0.00,0.00,241664,184320,32,21,2048000,1990656,256,245,
875.319860198,62.392,R,17984784,1037318,10919,36195,2,24868200448,23846330368,0,0.00,0.00,241664,167936,32,21,2048000,1974272,256,245,
880.320769256,62.189,R,18078131,1043079,11003,36398,2,24865841152,23844843520,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
885.321599123,48.992,S,18152345,1047625,11066,36626,2,24865841152,23844847616,0,0.00,0.00,241664,167936,32,21,2048000,1974272,256,245,
890.322426506,54.391,R,18235219,1052626,11140,36842,2,24868200448,23845658624,0,0.00,0.00,241664,163840,32,20,2048000,1970176,256,244,
895.322899123,67.594,R,18340033,1058898,11219,37054,2,24865841152,23844851712,0,0.00,0.00,241664,163840,32,20,2048000,1970176,256,244,
900.323411842,64.793,R,18435764,1064868,11298,37255,2,24868200448,23845122048,0,0.00,0.00,241664,163840,32,20,2048000,1970176,256,244,
905.323862670,62.794,R,18531702,1070681,11368,37455,2,24865841152,23844855808,0,0.00,0.00,241664,167936,32,21,2048000,1974272,256,245,
910.324531685,58.392,R,18621631,1076114,11443,37663,2,24868200448,23844855808,0,0.00,0.00,241664,229376,32,21,2048000,2035712,256,245,
915.325278588,55.192,R,18704906,1081192,11512,37888,2,24868200448,23847022592,0,0.00,0.00,241664,176128,32,21,2048000,1982464,256,245,
920.325941578,64.791,R,18803479,1087220,11585,38100,2,24865841152,23844859904,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
925.326487851,59.593,R,18893500,1092728,11660,38310,2,24865841152,23844859904,0,0.00,0.00,241664,196608,32,20,2048000,1998848,256,244,
930.327058202,49.594,S,18969463,1097321,11729,38542,2,24865841152,23844859904,0,0.00,0.00,241664,167936,32,21,2048000,1974272,256,245,
935.327975386,51.990,S,19047932,1102126,11799,38747,2,24865841152,23844859904,0,0.00,0.00,241664,163840,32,20,2048000,1970176,256,244,
940.328800941,63.590,R,19144029,1107973,11875,38955,2,24868200448,23844995072,0,0.00,0.00,241664,167936,32,21,2048000,1974272,256,245,
